名称,类型,转换后名称,转换后别名,地级数据库要求
行政区划_市级,面,XZQDS,市级行政区,1
行政区划_县级,面,XZQXS,县级行政区,1
行政区划_乡级,面,TY_XZQZS,通用_乡级行政区,0
行政区划_村级,面,TY_XZQCS,通用_村级行政区,0
制图_行政区划_市域,线,ZT_XZQH_SY,制图_行政区划_市域,0
制图_行政区划_中心城区,线,ZT_XZQH_ZXCQ,制图_行政区划_中心城区,0
制图_行政区划_注记_市域,注记,ZT_XZQH_ZJ_SY,制图_行政区划_注记_市域,0
制图_行政区划_注记_中心城区,注记,ZT_XZQH_ZJ_ZXCQ,制图_行政区划_注记_中心城区,0
现状_地类图斑,面,XZYDYH,现状用地用海,1
规划_地类图斑,面,GHYDYH,规划_用地用海,0
现状_城镇驻地,点,XZ_CZTXD,现状_城镇体系点,0
规划_城镇驻地,点,CZTXD,城镇体系点,1
双评价_生态保护重要性,面,STBHZYXPJJG,生态保护重要性评价结果,1
双评价_城镇建设适宜性,面,NYSCSYXPJJG,农业生产适宜性评价结果,1
双评价_农业生产适宜性,面,CZJSSYXPJJG,城镇建设适宜性评价结果,1
双评价_综合评价,面,SPJ_ZHPJ,双评价_综合评价,0
制图_规划结构_点,点,ZT_GHJG_D,制图_规划结构_点,0
制图_规划结构_线,线,ZT_GHJG_X,制图_规划结构_线,0
制图_规划结构_面,面,ZT_GHJG_M,制图_规划结构_面,0
规划_国土空间规划分区,面,GHFQ,规划分区,1
规划_生态保护红线,面,STBHHX,生态保护红线,1
现状_永久基本农田储备区,面,XZ_YJJBNTCBQ,现状_永久基本农田储备区,0
规划_永久基本农田储备区,面,YJJBNTCBQ,永久基本农田储备区,1
规划_永久基本农田_保护区,面,NA,无,0
规划_永久基本农田_片块,面,NA,无,0
规划_永久基本农田_图斑,面,YJJBNTTB,永久基本农田,1
规划_基本草原,面,JBCY,基本草原,1
规划_综合整治和生态修复_点,点,STXFHGTZHZZZDGCD,生态修复和国土综合整治重大工程（点）,1
规划_综合整治和生态修复_线,线,STXFHGTZHZZZDGCX,生态修复和国土综合整治重大工程（线）,1
规划_综合整治和生态修复_面,面,STXFHGTZHZZZDGCM,生态修复和国土综合整治重大工程（面）,1
规划_开发强度分区,面,NA,无,0
现状_中心城区_地类图斑,面,ZXCQXZYDYH,中心城区现状用地用海,1
规划_中心城区_地类图斑,面,ZXCQGHYDYH,中心城区规划用地用海,1
规划_中心城区_控制线,面,NA,无,0
规划_中心城区_国土空间规划分区,面,ZXCQGHFQ,中心城区规划分区,1
现状_中心城区_公园绿地,面,XZ_ZXCQLDYKCKJ,现状_中心城区绿地与开敞空间,0
规划_中心城区_公园绿地,面,ZXCQLDYKCKJ,中心城区绿地与开敞空间,1
